"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"Solder_Terminal_4x4mm";1;"Output (-)";;;
2;"IC1";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"TLV3404";;;
3;"IC2,IC4,IC3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";3;"MAX923";;;
4;"Q4,Q1,Q2,Q3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";4;"IRF7455PBF";;;
5;"J1";"JST_XH_S4B-XH-SM4-TB_04x2.50mm_Angled";1;"S4B-XH-SM4-TB";;;
6;"C1,C3,C5";"C_0805";3;"470n";;;
7;"C2,C4,C6";"C_0805";3;"47n";;;
8;"R1,R2";"R_0805";2;"10M";;;
9;"R3,R6,R10,R13,R17,R20";"R_0805";6;"3M3";;;
10;"R4,R11,R18";"R_0805";3;"150R";;;
11;"R7,R14,R21";"R_0805";3;"332K";;;
12;"R8,R15,R22";"R_0805";3;"1M";;;
13;"R9,R16,R23";"R_0805";3;"523K";;;
14;"J2";"Solder_Terminal_4x4mm";1;"Output (+)";;;
15;"J4";"Solder_Terminal_4x4mm";1;"Input (+)";;;
16;"J5";"Solder_Terminal_4x4mm";1;"Input (-)";;;
17;"D4,D5,D6,D7";"LED_0805";4;"LED";;;
18;"R24,R25,R26";"R_0805";3;"220R";;;
19;"R27";"R_0805";1;"680R";;;
20;"R5,R12,R19";"R_0612";3;"22R";;;
21;"D1,D2,D3";"D_0805";3;"D";;;
